(32315, 'Nelson', 208, 44.473584, -91.910518, 5),
(11675, 'Vermillion', 171, 39.689591, -96.495257, 5),
(15976, 'Hovland', 179, 47.851669, -90.001214, 5),
(21905, 'Rosendale', 191, 41.873367, -74.074621, 5),
(26077, 'Bainbridge', 195, 40.088469, -76.462434, 5),
(30944, 'Randolph Center', 206, 43.928552, -72.569113, 5),
(21493, 'Westtown', 191, 41.331044, -74.456673, 5),
(4732, 'Hagarville', 154, 35.547714, -93.437264, 5),
(13264, 'Saint Amant', 173, 30.236364, -90.827056, 5),
(12298, 'Winchester', 172, 37.964922, -84.160724, 5),
(4757, 'Branch', 154, 35.311075, -93.922527, 5),
(21650, 'Wantagh', 191, 40.67815, -73.509519, 5),
(7974, 'Hinesville', 164, 31.806832, -81.437074, 5),
(9762, 'Claytonville', 169, 40.567574, -87.804046, 5),
(30199, 'Chester Gap', 204, 38.853733, -78.141239, 5),
(11069, 'Denver', 170, 40.867036, -86.07524, 5),
(26683, 'Norwood', 195, 39.888412, -75.29818, 5),
(6197, 'Hat Creek', 157, 40.808623, -121.499992, 5),
(21595, 'Centereach', 191, 40.922326, -72.637078, 5),
(3838, 'Fyffe', 153, 34.43038, -85.898669, 5),
(5205, 'National City', 157, 32.671194, -117.084353, 5),
(8592, 'Sac City', 167, 42.439752, -94.992967, 5),
(14616, 'Bangor', 176, 45.061744, -68.878893, 5),
(16897, 'Charleston', 180, 36.885612, -89.296639, 5),
(21984, 'Rock Tavern', 191, 41.50755, -74.156394, 5),
(13015, 'Belle Chasse', 173, 29.620092, -89.771638, 5),
(19376, 'Robinson', 185, 46.979659, -99.689234, 5),
(29092, 'Deer Park', 202, 29.687972, -95.116749, 5),
(12363, 'Eolia', 172, 37.043638, -82.809267, 5),
(15200, 'Lincoln', 178, 44.65922, -83.454865, 5),
(23927, 'Cutler', 192, 39.430738, -81.44512, 5),
(26531, 'Shavertown', 195, 41.24083, -75.947216, 5),
(27387, 'Aurora', 200, 44.304195, -96.667977, 5),
(29209, 'Moulton', 202, 29.576432, -97.145989, 5),
(21997, 'Wassaic', 191, 41.802285, -73.560425, 5),
(24142, 'Mannsville', 193, 34.183418, -96.878673, 5),
(28400, 'Greenville', 202, 33.104859, -96.115491, 5),
(11393, 'Chrisney', 170, 38.031396, -86.970053, 5),
(24683, 'Tygh Valley', 194, 45.297105, -121.233727, 5),
(5081, 'Cypress', 157, 33.640302, -117.769442, 5),
(20675, 'New Lisbon', 188, 39.862433, -74.725079, 5),
(16533, 'Big Falls', 179, 48.091615, -93.81606, 5),
(19214, 'Valley City', 185, 46.972286, -98.007534, 5),
(32560, 'Forest Hill', 209, 37.648541, -80.877395, 5),
(26435, 'Dalton', 195, 41.539797, -75.719723, 5),
(14655, 'Mattawamkeag', 176, 45.519867, -68.647416, 5),
(28377, 'Kemp', 202, 32.24862, -96.216065, 5),
(25160, 'Scenery Hill', 195, 40.092344, -80.099457, 5),
(3619, 'Green Pond', 153, 33.202691, -87.118044, 5),
(14700, 'Edgecomb', 176, 43.931748, -69.587334, 5),
(21387, 'Jefferson Valley', 191, 41.338568, -73.735548, 5),
